video,frame,track_id,x1,y1,x2,y2
05-26-2025-V6,750,32,1410.7101498474265,475.34149469816356,1445.1403114675763,539.8341339940994
05-26-2025-V6,780,32,1417.6479925168317,473.09247337597185,1451.9388483117295,537.3241726383344
05-26-2025-V6,810,32,1424.58583518669,470.84345205378014,1458.7373851554303,534.8142112825694
05-26-2025-V6,840,32,1431.523677857001,468.59443073158843,1465.535921998678,532.3042499268046
05-26-2025-V6,870,32,1438.461520527765,466.3454094093967,1472.334458841473,529.7942885710396
05-26-2025-V6,900,32,1445.399363198982,464.096388087205,1479.1329956838151,527.2843272152747
05-26-2025-V6,930,32,1452.3372058706516,461.84736676501336,1485.9315325257041,524.7743658595098
05-26-2025-V6,960,32,1459.2750485427741,459.59834544282165,1492.7300693671405,522.2644045037449
05-26-2025-V6,990,32,1466.2128912153496,457.34932412062994,1499.5286062081238,519.7544431479799
05-26-2025-V6,1020,32,1473.1507338883778,455.10030279843824,1506.3271430486543,517.2444817922151
05-26-2025-V6,1050,32,1480.088576561859,452.8512814762465,1513.1256798887323,514.7345204364501
05-26-2025-V6,1080,32,1487.026419235793,450.6022601540548,1519.924216728357,512.2245590806851
05-26-2025-V6,1110,32,1493.9642619101799,448.3532388318631,1526.722753567529,509.7145977249202
05-26-2025-V6,1140,32,1500.9021045850195,446.10421750967146,1533.521290406248,507.20463636915537
05-26-2025-V6,1170,32,1507.839947260312,443.85519618747975,1540.3198272445143,504.69467501339045
05-26-2025-V6,1200,32,1514.7777899360576,441.60617486528804,1547.1183640823276,502.1847136576255
05-26-2025-V6,1230,32,1521.715632612256,439.35715354309633,1553.9169009196883,499.67475230186056
05-26-2025-V6,1260,32,1528.6534752889072,437.1081322209046,1560.715437756596,497.16479094609565
05-26-2025-V6,1290,32,1535.5913179660113,434.8591108987129,1567.5139745930508,494.65482959033073
05-26-2025-V6,1320,32,1542.5291606435683,432.6100895765212,1574.3125114290528,492.1448682345658
05-26-2025-V6,1350,32,1549.467003321578,430.3610682543295,1581.1110482646018,489.63490687880085
05-26-2025-V6,1380,32,1556.4048460000406,428.1120469321378,1587.909585099698,487.12494552303593
05-26-2025-V6,1410,32,1563.3426886789562,425.86302560994613,1594.7081219343413,484.6149841672711
05-26-2025-V6,1410,73,1310.4763363585203,781.6403680261373,1349.2036195275948,863.1270539758224
05-26-2025-V6,1440,32,1570.2805313583244,423.6140042877544,1601.5066587685317,482.10502281150616
05-26-2025-V6,1440,73,1324.5822922362854,758.6043678848874,1369.2199923940532,852.797037341307
05-26-2025-V6,1470,32,1577.2183740381458,421.3649829655627,1608.3051956022696,479.5950614557412
05-26-2025-V6,1470,73,1347.3801487401931,746.0480822571161,1391.7616681196364,840.5420345629486
05-26-2025-V6,1500,32,1584.15621671842,419.115961643371,1615.1037324355543,477.0851000999763
05-26-2025-V6,1500,73,1372.2928330531756,740.0561100643396,1415.6164768994781,832.7876090047521
05-26-2025-V6,1500,76,615.8388420915177,719.0000000000001,648.5858671140852,787.180764661889
05-26-2025-V6,1530,32,1591.0940593991468,416.8669403211793,1621.9022692683861,474.57513874421136
05-26-2025-V6,1530,73,1397.4277055410178,735.8162260659417,1438.668331545511,824.8923780246423
05-26-2025-V6,1530,76,616.5730000851597,719.0,649.6915534095962,787.6559835247987
05-26-2025-V6,1560,32,1598.0319020803267,414.6179189989876,1628.7008061007652,472.0651773884464
05-26-2025-V6,1560,73,1417.3523768770785,728.6949068596525,1460.211137503675,820.3804804813441
05-26-2025-V6,1560,76,616.972540074994,717.5213117152208,650.6359811173775,787.0990054785527
05-26-2025-V6,1590,32,1604.9697447619594,412.3688976767959,1635.4993429326914,469.55521603268147
05-26-2025-V6,1590,73,1442.5186926890467,723.0573702009192,1485.723558993121,816.2944730882823
05-26-2025-V6,1590,76,617.2316048312052,717.1007846556845,650.9262583432229,786.7429892665269
05-26-2025-V6,1620,32,1611.907587444045,410.11987635460423,1642.2978797641647,467.0452546769166
05-26-2025-V6,1620,73,1467.6865861161127,721.32531539531,1506.8126249705954,806.445412534842
05-26-2025-V6,1620,76,617.4906695869565,716.6802575961481,651.216535569528,786.3869730545009
05-26-2025-V6,1650,32,1618.8454301265833,407.8708550324125,1649.096416595185,464.5352933211517
05-26-2025-V6,1650,73,1494.752344984229,719.3149940216526,1532.0765196134118,800.3971005589066
05-26-2025-V6,1650,76,617.7497343422481,716.2597305366116,651.5068127962932,786.030956842475
05-26-2025-V6,1680,73,1515.0214699210806,712.1639982504101,1552.3218797957775,793.1944858565928
05-26-2025-V6,1680,76,618.0087990970798,715.8392034770752,651.7970900235181,785.6749406304491
05-26-2025-V6,1680,85,1263.0936661882445,574.2480586220902,1306.6989539316094,650.608678676092
05-26-2025-V6,1710,73,1538.4938945204494,711.4197453306372,1575.8951503633818,790.811271239559
05-26-2025-V6,1710,76,618.2678638514515,715.4186764175388,652.0873672512029,785.3189244184231
05-26-2025-V6,1710,85,1279.3343949103062,567.9515575077382,1321.3232249431326,642.087429168565
05-26-2025-V6,1740,73,1561.4096446332858,707.1166084150151,1599.3730472251368,787.5426916784917
05-26-2025-V6,1740,76,618.5269286053634,714.9981493580025,652.3776444793476,784.9629082063973
05-26-2025-V6,1740,85,1289.7348775137762,563.2145288076532,1329.841416743359,633.7574554416648
